message_id,message,date,from
163,спасибо,2024-03-03 12:49:10+00:00,PeerUser(user_id=524234310)
162,https://t.me/alerrom,2024-03-03 12:48:44+00:00,PeerUser(user_id=1300178263)
161,"Здравствуйте, подскажите, пожалуйста, к кому обратиться чтобы мой аккаунт прошел модерацию на геолине?
Я думал что это дело времени, но вот уже неделю его никто не проверяет, а дедлайны по тестам все ближе...",2024-03-03 12:41:39+00:00,PeerUser(user_id=524234310)
160,,2024-03-02 10:51:28+00:00,PeerUser(user_id=524234310)
159,,2024-03-01 12:19:58+00:00,PeerUser(user_id=538951911)
158,"Пройдите, пожалуйста, опрос)",2024-03-01 12:19:58+00:00,PeerUser(user_id=538951911)
157,,2024-03-01 09:32:38+00:00,PeerUser(user_id=1806146134)
156,,2024-03-01 09:32:23+00:00,PeerUser(user_id=1806146134)
155,,2024-02-29 15:39:19+00:00,PeerUser(user_id=501699754)
154,Что поделать 🤷‍♂,2024-02-29 12:24:24+00:00,PeerUser(user_id=538951911)
153,Спасибо),2024-02-29 12:24:19+00:00,PeerUser(user_id=536036487)
152,"Он там для того и нужен, чтобы при любых x получить неотрицательный аргумент",2024-02-29 12:24:04+00:00,PeerUser(user_id=538951911)
151,"а, хорошо, попробую, ну все равно, конечно, вычисления неприятные)",2024-02-29 12:23:52+00:00,PeerUser(user_id=536036487)
150,Именно,2024-02-29 12:23:13+00:00,PeerUser(user_id=538951911)
149,"имеете в виду, что там модуль?",2024-02-29 12:23:07+00:00,PeerUser(user_id=536036487)
148,Какие скобки у аргумента логарифма по таблице интегралов,2024-02-29 12:22:31+00:00,PeerUser(user_id=538951911)
147,"там если минус оставить, то при положительном x аргумент натурального логарифма отрицательный",2024-02-29 12:22:28+00:00,PeerUser(user_id=536036487)
146,м?,2024-02-29 12:21:38+00:00,PeerUser(user_id=536036487)
145,А по таблице как?,2024-02-29 12:21:18+00:00,PeerUser(user_id=538951911)
144,получается,2024-02-29 12:21:00+00:00,PeerUser(user_id=536036487)
143,ибо в аргументе логарифма отрицательное число,2024-02-29 12:20:56+00:00,PeerUser(user_id=536036487)
142,"и если минус там оставить, то тогда просто функция не считается",2024-02-29 12:20:47+00:00,PeerUser(user_id=536036487)
141,потому что у производной e^-2x выносится - перед выражением,2024-02-29 12:20:18+00:00,PeerUser(user_id=536036487)
140,"Там ответ больше 1 получается, если всё честно преобразовать",2024-02-29 12:20:14+00:00,PeerUser(user_id=538951911)
139,А почему вы убрали минус?,2024-02-29 12:18:28+00:00,PeerUser(user_id=538951911)
138,Ибо без него это самоубийство,2024-02-29 12:11:12+00:00,PeerUser(user_id=536036487)
137,"Вот, ну дальше высчитывал я уже с помощью калькулятора",2024-02-29 12:10:56+00:00,PeerUser(user_id=536036487)
136,А есть решение этой задачи,2024-02-29 12:08:07+00:00,PeerUser(user_id=538951911)
135,пасиб,2024-02-29 11:57:19+00:00,PeerUser(user_id=536036487)
134,оке,2024-02-29 11:57:18+00:00,PeerUser(user_id=536036487)
133,"Если я правильно понимаю силлабиус, то тебе нужно решить 5 задач из 7 правильно, чтобы получить полный балл.",2024-02-29 11:57:10+00:00,PeerUser(user_id=1499212295)
132,"Здравствуйте, сколько из 7 задач может быть сделано неправильно?
Потому что, например, у первой задачи словно даже и нет ответа, вычисления в один момент выходят в ответ ""0.00000795669""
Проверял даже с калькулятором, собственно, там в один момент она просто к нему и сводится...",2024-02-29 11:53:59+00:00,PeerUser(user_id=536036487)
131,,2024-02-29 11:48:34+00:00,PeerUser(user_id=536036487)
130,,2024-02-29 11:38:12+00:00,PeerUser(user_id=964659331)
129,,2024-02-29 11:14:38+00:00,PeerUser(user_id=1300178263)
128,,2024-02-29 10:58:10+00:00,PeerUser(user_id=5490175175)
127,,2024-02-29 10:38:25+00:00,PeerUser(user_id=1080371780)
126,,2024-02-29 10:36:41+00:00,PeerUser(user_id=998972268)
125,,2024-02-29 10:36:12+00:00,PeerUser(user_id=831710689)
124,,2024-02-29 10:31:51+00:00,PeerUser(user_id=1063597034)
123,,2024-02-29 10:31:12+00:00,PeerUser(user_id=1019688392)
122,,2024-02-29 10:31:09+00:00,PeerUser(user_id=5984175190)
121,"Если завершили, то не надо",2024-02-27 18:18:58+00:00,PeerUser(user_id=538951911)
120,"А как перерешать, если уже завершил дз?",2024-02-27 18:17:36+00:00,PeerUser(user_id=1230472706)
119,"Ребята, кто уже начал выполнять дз. Одна задача изменилась (та, где ответ нужно представить в виде экспоненты от функции), было очень много проблем с введением правильного ответа, поэтому её придется перерешать)",2024-02-27 17:48:33+00:00,PeerUser(user_id=538951911)
118,"Михаил, вы разобрались с аккаунтами в геолин? Судя по всему, у вас вместо линала второй раз выбран матан.",2024-02-27 16:53:11+00:00,PeerUser(user_id=538951911)
117,,2024-02-27 11:30:53+00:00,PeerUser(user_id=2106191919)
116,,2024-02-27 08:33:09+00:00,PeerUser(user_id=517607496)
115,,2024-02-27 06:53:32+00:00,PeerUser(user_id=1097317371)
114,"Во вторник тогда подойду, спасибо за помощь",2024-02-26 10:37:38+00:00,PeerUser(user_id=978878257)
113,"Да, неверная. Вам нужна группа 12.4",2024-02-26 10:37:25+00:00,PeerUser(user_id=538951911)
112,"Спасибо, получится, если я просил ее пригласить меня в группу, и она пригласила меня в группу матан 10.3, это неверная группа",2024-02-26 10:35:56+00:00,PeerUser(user_id=978878257)
111,Алла Сергеевна 12.4,2024-02-26 10:34:38+00:00,PeerUser(user_id=538951911)
110,Или Анна Сергеевна,2024-02-26 10:34:25+00:00,PeerUser(user_id=978878257)
109,"Алла Сергеевна, видимо",2024-02-26 10:34:10+00:00,PeerUser(user_id=978878257)
108,"Математический анализ
Лекции каждую неделю по вторникам с  с 8.20 до 9.50, ауд. ауд. 2202 ул.Ломоносова, д.9, лит. А
Практики каждую неделю по вторникам с 10.00 до 11.30, ауд. 4307 ул.Ломоносова, д.9, лит. А",2024-02-26 10:33:56+00:00,PeerUser(user_id=978878257)
107,Кто преподаватель?,2024-02-26 10:33:30+00:00,PeerUser(user_id=538951911)
106,"После перевода просто не пишется поток, а только время",2024-02-26 10:33:25+00:00,PeerUser(user_id=978878257)
105,Вот сейчас разбираюсь,2024-02-26 10:33:17+00:00,PeerUser(user_id=978878257)
104,Знаете какой у вас практический поток?,2024-02-26 10:32:54+00:00,PeerUser(user_id=538951911)
103,Да,2024-02-26 10:31:33+00:00,PeerUser(user_id=538951911)
102,То есть мне нужно выбрать именно практический поток?,2024-02-26 10:31:25+00:00,PeerUser(user_id=978878257)
101,12.1-12.4 это практические потоки,2024-02-26 10:31:25+00:00,PeerUser(user_id=538951911)
100,Там указаны практические потоки,2024-02-26 10:30:35+00:00,PeerUser(user_id=538951911)
99,"Лидия Викторовна, подскажите пожалуйста, я сейчас регистрируюсь на геолине и мне доступны потоки, начиная с 12.1, но он в 10 утра, а у меня лекция в 8:20, какой выбрать поток?",2024-02-26 10:26:44+00:00,PeerUser(user_id=978878257)
98,"Хорошо, спасибо",2024-02-26 07:51:54+00:00,PeerUser(user_id=1230472706)
97,"Если у вас возникнут сложности с доступом (забыли пароль, аккаунт не прошел модерацию, прочие трудности), вы можете написать Александру Ершову на почту aleksandr.ershov@itmo.ru с темой ""Проблемы с геолином"" или напрямую в телеграм @alerrom с 11:00 до 18:00 по будням. Обязательно укажите свои данные и опишите проблему и ситуацию, в которой она возникла.",2024-02-26 07:50:53+00:00,PeerUser(user_id=538951911)
96,"По спискам вы у меня. Так что выполняйте то ДЗ, которое назначила я) Чтобы решить проблему с двумя аккаунтами, можете обратиться к Александру Ершову.",2024-02-26 07:50:47+00:00,PeerUser(user_id=538951911)
95,Не знаю правда как и почему,2024-02-26 07:42:21+00:00,PeerUser(user_id=1230472706)
94,"Ну, видимо да",2024-02-26 07:42:07+00:00,PeerUser(user_id=1230472706)
93,"Так вы одновременно у Правдина учитесь и у меня? Здорово, ну делайте две домашки)",2024-02-26 07:41:27+00:00,PeerUser(user_id=538951911)
92,"А на основном, если так можно сказать, аккаунте у меня до 7 марта дз и правильный поток",2024-02-26 07:37:16+00:00,PeerUser(user_id=1230472706)
91,"У меня на геолине почему-то 2 аккаунта и домашка на 26е число была мне дана на какой-то другой аккаунт, где я в потоке 14.4",2024-02-26 07:36:26+00:00,PeerUser(user_id=1230472706)
90,А я кажется понял в чем ошибка,2024-02-26 07:35:46+00:00,PeerUser(user_id=1230472706)
89,"Ребята, у кого-то ещё есть какое-то ДЗ по матанализу, которое не до 7 марта и называется не ""Таблица интегралов. Внесение под дифференциал""?",2024-02-26 06:25:46+00:00,PeerUser(user_id=538951911)
88,"Задачи новые, возможны какие-то нестыковки, поэтому будет полезно видеть ваши решения, чтобы понимать, глюк системы это или ошибка у вас в вычислениях)",2024-02-24 15:20:26+00:00,PeerUser(user_id=538951911)
87,Надо,2024-02-24 15:17:29+00:00,PeerUser(user_id=538951911)
86,"Подскажите, а в дз надо прикреплять решения?",2024-02-24 15:16:32+00:00,PeerUser(user_id=1755510580)
85,Разберемся,2024-02-24 15:03:58+00:00,PeerUser(user_id=538951911)
84,12.2,2024-02-24 15:03:24+00:00,PeerUser(user_id=1230472706)
83,У вас какой поток?,2024-02-24 15:02:27+00:00,PeerUser(user_id=538951911)
82,А у тебя кто практик?,2024-02-24 15:01:22+00:00,PeerUser(user_id=1230472706)
81,у меня ничего с названием дз 1.1 нет...,2024-02-24 15:00:15+00:00,PeerUser(user_id=1755510580)
80,"забавно, однако",2024-02-24 14:56:29+00:00,PeerUser(user_id=1230472706)
79,Да,2024-02-24 14:55:57+00:00,PeerUser(user_id=1755510580)
78,там 7 заданий на интегралы?,2024-02-24 14:55:13+00:00,PeerUser(user_id=1230472706)
77,"Я сейчас открыла, тут до 7 марта",2024-02-24 14:53:39+00:00,PeerUser(user_id=1755510580)
76,А можно вопрос: почему крайний срок выполнения сместился на 26 февраля?,2024-02-24 14:52:45+00:00,PeerUser(user_id=1230472706)
75,"Если да, то там уже появилась первая домашняя работа. Крайний срок выполнения - 7 марта.",2024-02-22 13:25:45+00:00,PeerUser(user_id=538951911)
74,"Добрый день! Подскажите, все ли зарегистрированы на геолине?",2024-02-22 13:24:30+00:00,PeerUser(user_id=538951911)
73,,2024-02-20 08:30:43+00:00,PeerUser(user_id=5603920230)
72,,2024-02-20 07:04:41+00:00,PeerUser(user_id=708930419)
71,,2024-02-20 06:55:05+00:00,PeerUser(user_id=1432867584)
70,,2024-02-20 06:54:24+00:00,PeerUser(user_id=956351495)
69,,2024-02-20 06:54:15+00:00,PeerUser(user_id=107472109)
68,,2024-02-20 06:54:08+00:00,PeerUser(user_id=1499212295)
67,,2024-02-20 06:15:22+00:00,PeerUser(user_id=371336365)
66,,2024-02-20 05:17:11+00:00,PeerUser(user_id=1118500101)
65,,2024-02-20 05:16:52+00:00,PeerUser(user_id=283010429)
64,,2024-02-19 07:11:12+00:00,PeerUser(user_id=890480082)
